id,name,abbr,team,pos,color,photo,gp,g,a,pts,plusMinus,pim,shots
8482146,Luke Evangelista,NHL,NHL,R,#38bdf8,https://assets.nhle.com/mugs/nhl/latest/8482146.png,68,9,39,48,5,14,144
8481542,Moritz Seider,NHL,NHL,D,#38bdf8,https://assets.nhle.com/mugs/nhl/latest/8481542.png,70,9,39,48,20,55,157
8478519,Anthony Cirelli,NHL,NHL,C,#38bdf8,https://assets.nhle.com/mugs/nhl/latest/8478519.png,60,19,29,48,32,42,106
8477964,Ivan Barbashev,NHL,NHL,L,#38bdf8,https://assets.nhle.com/mugs/nhl/latest/8477964.png,70,19,29,48,9,12,112
8482122,Brock Faber,NHL,NHL,D,#38bdf8,https://assets.nhle.com/mugs/nhl/latest/8482122.png,71,14,33,47,21,35,156
8481656,Aliaksei Protas,NHL,NHL,L,#38bdf8,https://assets.nhle.com/mugs/nhl/latest/8481656.png,66,23,24,47,18,20,141
8474590,John Carlson,NHL,NHL,D,#38bdf8,https://assets.nhle.com/mugs/nhl/latest/8474590.png,58,10,37,47,13,28,121
8480801,Brady Tkachuk,NHL,NHL,L,#38bdf8,https://assets.nhle.com/mugs/nhl/latest/8480801.png,49,19,28,47,1,53,188
8482109,Alexis Lafrenière,NHL,NHL,L,#38bdf8,https://assets.nhle.com/mugs/nhl/latest/8482109.png,69,20,27,47,-9,18,138
8481605,Jackson LaCombe,NHL,NHL,D,#38bdf8,https://assets.nhle.com/mugs/nhl/latest/8481605.png,69,8,39,47,0,17,132
8480023,Robert Thomas,NHL,NHL,C,#38bdf8,https://assets.nhle.com/mugs/nhl/latest/8480023.png,52,16,30,46,13,16,80
8474600,Roman Josi,NHL,NHL,D,#38bdf8,https://assets.nhle.com/mugs/nhl/latest/8474600.png,57,11,35,46,-18,24,154
8477504,Josh Morrissey,NHL,NHL,D,#38bdf8,https://assets.nhle.com/mugs/nhl/latest/8477504.png,64,12,34,46,6,26,115
8475786,Zach Hyman,NHL,NHL,L,#38bdf8,https://assets.nhle.com/mugs/nhl/latest/8475786.png,52,29,17,46,6,20,152
8482659,Josh Doan,NHL,NHL,R,#38bdf8,https://assets.nhle.com/mugs/nhl/latest/8482659.png,70,22,24,46,-6,23,155
8480865,Noah Dobson,NHL,NHL,D,#38bdf8,https://assets.nhle.com/mugs/nhl/latest/8480865.png,69,12,33,45,11,32,142
8475172,Nazem Kadri,NHL,NHL,C,#38bdf8,https://assets.nhle.com/mugs/nhl/latest/8475172.png,68,14,31,45,-25,24,194
8479410,Mikhail Sergachev,NHL,NHL,D,#38bdf8,https://assets.nhle.com/mugs/nhl/latest/8479410.png,66,10,35,45,3,38,136
