id,name,abbr,color,photo,gp,g,a,pts,plusMinus
8477964,Ivan Barbashev,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8477964.png,70,19,29,48,9
8482146,Luke Evangelista,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8482146.png,68,9,39,48,5
8476389,Vincent Trocheck,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8476389.png,54,15,33,48,-16
8482105,Jake Sanderson,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8482105.png,62,11,37,48,9
8481542,Moritz Seider,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8481542.png,70,9,39,48,20
8481605,Jackson LaCombe,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8481605.png,69,8,39,47,0
8480801,Brady Tkachuk,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8480801.png,49,19,28,47,1
8474590,John Carlson,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8474590.png,58,10,37,47,13
8482109,Alexis Lafrenière,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8482109.png,69,20,27,47,-9
8481656,Aliaksei Protas,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8481656.png,66,23,24,47,18
8482122,Brock Faber,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8482122.png,71,14,33,47,21
8475786,Zach Hyman,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8475786.png,52,29,17,46,6
8477504,Josh Morrissey,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8477504.png,64,12,34,46,6
8480023,Robert Thomas,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8480023.png,52,16,30,46,13
8482659,Josh Doan,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8482659.png,70,22,24,46,-6
8474600,Roman Josi,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8474600.png,57,11,35,46,-18
8480865,Noah Dobson,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8480865.png,69,12,33,45,11
8478010,Brayden Point,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8478010.png,50,16,29,45,9
8484227,Will Smith,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8484227.png,55,19,26,45,-3
8475172,Nazem Kadri,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8475172.png,68,14,31,45,-25
8479410,Mikhail Sergachev,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8479410.png,66,10,35,45,3
8482097,Jack Quinn,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8482097.png,70,16,28,44,8
8477505,Alexander Wennberg,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8477505.png,67,13,31,44,-24
8478493,Joel Eriksson Ek,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8478493.png,62,17,27,44,13
8482113,Anton Lundell,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8482113.png,64,18,26,44,-8
8475726,Tyler Toffoli,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8475726.png,67,18,26,44,-9
8482665,Matty Beniers,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8482665.png,69,18,26,44,-5
8478449,Roope Hintz,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8478449.png,53,15,29,44,16
8476906,Shayne Gostisbehere,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8476906.png,45,11,32,43,10
8482809,Jackson Blake,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8482809.png,69,20,23,43,5
8475149,Marcus Johansson,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8475149.png,64,14,29,43,18
8473512,Claude Giroux,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8473512.png,69,12,31,43,20
8482175,JJ Peterka,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8482175.png,70,22,20,42,8
8474141,Patrick Kane,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8474141.png,55,12,30,42,1
8477496,Elias Lindholm,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8477496.png,57,13,29,42,-5
8480015,Owen Tippett,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8480015.png,69,24,18,42,-8
8482667,William Eklund,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8482667.png,64,12,30,42,-31
8475692,Mats Zuccarello,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8475692.png,51,13,29,42,-7
8477402,Pavel Buchnevich,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8477402.png,69,16,26,42,-15
8475184,Chris Kreider,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8475184.png,63,21,21,42,-2
8477476,Artturi Lehkonen,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8477476.png,59,19,23,42,31
8480012,Elias Pettersson,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8480012.png,61,15,26,41,-21
8478407,Vince Dunn,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8478407.png,68,11,30,41,-24
8477989,Christian Dvorak,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8477989.png,68,14,27,41,5
8476905,Chandler Stephenson,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8476905.png,67,14,27,41,-25
8478042,Viktor Arvidsson,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8478042.png,58,19,22,41,17
8477501,Valeri Nichushkin,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8477501.png,59,15,25,40,4
8477942,Kevin Fiala,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8477942.png,56,18,22,40,-11
8484911,Collin Graf,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8484911.png,67,19,21,40,2
8475765,Vladimir Tarasenko,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8475765.png,64,20,20,40,-4
8479425,Filip Hronek,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8479425.png,69,8,31,39,-5
8476468,J.T. Miller,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8476468.png,55,14,25,39,-28
8477429,Andrew Copp,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8477429.png,67,9,30,39,3
8480807,Mattias Samuelsson,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8480807.png,67,12,27,39,35
8481596,Shane Pinto,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8481596.png,59,18,20,38,3
8480220,Noah Cates,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8480220.png,69,15,23,38,19
8482259,Bobby McMann,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8482259.png,65,23,15,38,-4
8474150,Mikael Backlund,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8474150.png,69,15,23,38,11
8475791,Taylor Hall,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8475791.png,69,15,23,38,8
8482730,Brandt Clarke,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8482730.png,69,8,30,38,4
8484387,Matvei Michkov,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8484387.png,68,16,21,37,-8
8475218,Mattias Ekholm,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8475218.png,71,6,31,37,25
8478438,Thomas Novak,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8478438.png,69,15,22,37,5
8475722,Jason Zucker,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8475722.png,51,20,17,37,-3
8478397,Rasmus Andersson,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8478397.png,69,12,25,37,-3
8481601,Simon Holmstrom,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8481601.png,68,17,20,37,13
8483516,Jimmy Snuggerud,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8483516.png,57,15,21,36,4
8484186,Ryan Leonard,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8484186.png,63,15,21,36,0
8479385,Jordan Kyrou,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8479385.png,59,16,20,36,-8
8477955,Jared McCann,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8477955.png,44,18,18,36,-3
8482124,Quinton Byfield,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8482124.png,66,14,22,36,-10
8478444,Brock Boeser,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8478444.png,62,16,20,36,-32
8479323,Adam Fox,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8479323.png,42,5,31,36,5
8479999,Casey Mittelstadt,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8479999.png,60,13,23,36,9
8475314,Anders Lee,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8475314.png,70,15,21,36,3
8476483,Rickard Rakell,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8476483.png,48,14,21,35,5
8477497,Sean Monahan,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8477497.png,65,12,23,35,6
8475171,Oliver Ekman-Larsson,NHL,#333,https://assets.nhle.com/mugs/nhl/latest/8475171.png,68,8,27,35,-7
