assists,evGoals,evPoints,faceoffWinPct,gameWinningGoals,gamesPlayed,goals,lastName,otGoals,penaltyMinutes,playerId,plusMinus,points,pointsPerGame,positionCode,ppGoals,ppPoints,seasonId,shGoals,shPoints,shootingPct,shootsCatches,shots,skaterFullName,teamAbbrevs,timeOnIcePerGame
33,14,36,0.30313,3,69,22,Zegras,0,46,8481533,-2,55,0.7971,C,8,19,20252026,0,0,0.15068,L,146,Trevor Zegras,PHI,1133.4202
43,8,33,,0,64,11,Karlsson,0,18,8474578,14,54,0.84375,D,3,21,20252026,0,0,0.07382,R,149,Erik Karlsson,PIT,1427.6093
27,21,34,0.125,3,52,27,Marchand,1,38,8473419,-16,54,1.03846,L,6,20,20252026,0,0,0.19565,L,138,Brad Marchand,FLA,1064.0961
30,11,31,0.57785,4,70,24,Hertl,2,39,8476881,-14,54,0.77142,C,13,23,20252026,0,0,0.13714,L,175,Tomas Hertl,VGK,1041.3714
26,22,41,0.5967,3,60,27,Matthews,1,18,8479318,-4,53,0.88333,C,5,12,20252026,0,0,0.11894,L,227,Auston Matthews,TOR,1248.2333
28,20,39,0.48155,4,68,25,Bennett,1,76,8477935,-9,53,0.77941,C,5,14,20252026,0,0,0.14124,L,177,Sam Bennett,FLA,1107.8088
27,20,42,0.25,0,69,26,Mantha,0,31,8477511,14,53,0.76811,R,6,11,20252026,0,0,0.2,L,130,Anthony Mantha,PIT,903.6521
44,8,32,,1,58,9,McAvoy,1,52,8479325,8,53,0.91379,D,1,21,20252026,0,0,0.09473,R,95,Charlie McAvoy,BOS,1457.0517
31,17,40,0.49946,3,69,21,Fantilli,2,34,8484166,-10,52,0.75362,C,4,12,20252026,0,0,0.11351,L,185,Adam Fantilli,CBJ,1125.9275
38,10,37,,3,69,14,Demidov,0,26,8484984,3,52,0.75362,R,4,15,20252026,0,0,0.13461,L,104,Ivan Demidov,MTL,920.2608
32,18,40,0.5,2,69,20,Sennecke,1,46,8484762,-14,52,0.75362,R,1,11,20252026,1,1,0.12048,R,166,Beckett Sennecke,ANA,1060.2463
27,21,36,0.66666,4,70,25,Ovechkin,0,24,8471214,-3,52,0.74285,L,4,16,20252026,0,0,0.12437,R,201,Alex Ovechkin,WSH,1051.4
27,18,41,0.44117,3,60,25,Wilson,0,90,8476880,15,52,0.86666,R,7,11,20252026,0,0,0.1923,R,130,Tom Wilson,WSH,1172.7166
37,12,33,0.44489,2,49,15,Malkin,0,55,8471215,14,52,1.06122,C,3,19,20252026,0,0,0.11627,L,129,Evgeni Malkin,PIT,1055.0816
28,15,33,0.55238,4,69,24,Hischier,2,27,8480002,-11,52,0.75362,C,9,19,20252026,0,0,0.13407,L,179,Nico Hischier,NJD,1247.8115
28,17,37,,7,68,23,Chychrun,2,55,8479345,15,51,0.75,D,6,14,20252026,0,0,0.1133,L,203,Jakob Chychrun,WSH,1417.2794
28,15,33,0.51955,3,67,23,Zacha,1,28,8478401,-1,51,0.76119,C,8,18,20252026,0,0,0.20535,L,112,Pavel Zacha,BOS,1024.194
29,14,34,,4,70,22,Schaefer,2,36,8485366,14,51,0.72857,D,8,17,20252026,0,0,0.125,L,176,Matthew Schaefer,NYI,1458.0
27,12,25,0.53257,3,69,24,Cozens,0,53,8481528,-9,51,0.73913,C,12,26,20252026,0,0,0.14457,R,166,Dylan Cozens,OTT,1023.8695
33,8,23,0.48106,2,61,18,Nugent-Hopkins,0,19,8476454,-13,51,0.83606,C,10,27,20252026,0,1,0.16666,L,108,Ryan Nugent-Hopkins,EDM,1147.5409
34,11,32,0.58787,1,68,16,Strome,0,34,8478440,3,50,0.73529,C,5,18,20252026,0,0,0.12403,L,129,Dylan Strome,WSH,1096.5441
21,17,28,0.47368,3,66,28,Bertuzzi,1,36,8477479,-21,49,0.74242,L,11,21,20252026,0,0,0.19858,L,141,Tyler Bertuzzi,CHI,1103.8787
29,16,40,0.36708,4,67,20,Verhaeghe,0,32,8477409,-11,49,0.73134,C,4,9,20252026,0,0,0.12422,L,161,Carter Verhaeghe,FLA,1042.6268
37,7,36,0.47251,1,70,12,McLeod,0,12,8480802,28,49,0.7,C,0,7,20252026,5,6,0.14457,L,83,Ryan McLeod,BUF,1059.1857
21,20,33,0.55891,6,56,28,Horvat,2,40,8477500,10,49,0.875,C,7,15,20252026,1,1,0.15053,L,186,Bo Horvat,NYI,1245.3928
35,12,36,0.5,1,49,14,Terry,0,12,8478873,11,49,1.0,R,0,9,20252026,2,4,0.11965,R,117,Troy Terry,ANA,1096.4693
27,18,33,0.4074,3,67,22,Eberle,0,24,8474586,6,49,0.73134,R,4,16,20252026,0,0,0.14864,R,148,Jordan Eberle,SEA,1108.6119
33,11,31,0.56711,1,54,15,Trocheck,0,50,8476389,-16,48,0.88888,C,2,15,20252026,2,2,0.15789,R,95,Vincent Trocheck,NYR,1247.4444
37,8,29,,2,62,11,Sanderson,0,8,8482105,9,48,0.77419,D,3,19,20252026,0,0,0.0827,L,133,Jake Sanderson,OTT,1488.7741
39,8,32,0.0,0,68,9,Evangelista,0,14,8482146,5,48,0.70588,R,1,16,20252026,0,0,0.0625,R,144,Luke Evangelista,NSH,1012.8382
39,7,27,,2,70,9,Seider,1,55,8481542,20,48,0.68571,D,2,21,20252026,0,0,0.05732,R,157,Moritz Seider,DET,1534.5857
