id,name,abbr,color,photo,gp,g,a,pts,ppg,sog,spct,pim,plusMinus
Adam_Fantilli,Adam Fantilli,NHL,#333,https://nhl.bamcontent.com/images/headshots/current/168x168/8484166.jpg,69,21,31,52,0.75,185,11.4,34,-10
Tom_Wilson,Tom Wilson,NHL,#333,https://nhl.bamcontent.com/images/headshots/current/168x168/8476880.jpg,60,25,27,52,0.87,130,19.2,90,15
Beckett_Sennecke,Beckett Sennecke,NHL,#333,https://nhl.bamcontent.com/images/headshots/current/168x168/8484762.jpg,69,20,32,52,0.75,166,12.0,46,-14
Alex_Ovechkin,Alex Ovechkin,NHL,#333,https://nhl.bamcontent.com/images/headshots/current/168x168/8471214.jpg,70,25,27,52,0.74,201,12.4,24,-3
Evgeni_Malkin,Evgeni Malkin,NHL,#333,https://nhl.bamcontent.com/images/headshots/current/168x168/8471215.jpg,49,15,37,52,1.06,129,11.6,55,14
Ivan_Demidov,Ivan Demidov,NHL,#333,https://nhl.bamcontent.com/images/headshots/current/168x168/8484984.jpg,69,14,38,52,0.75,104,13.5,26,3
Nico_Hischier,Nico Hischier,NHL,#333,https://nhl.bamcontent.com/images/headshots/current/168x168/8480002.jpg,69,24,28,52,0.75,179,13.4,27,-11
Matthew_Schaefer,Matthew Schaefer,NHL,#333,https://nhl.bamcontent.com/images/headshots/current/168x168/8485366.jpg,70,22,29,51,0.73,176,12.5,36,14
Ryan_Nugent-Hopkins,Ryan Nugent-Hopkins,NHL,#333,https://nhl.bamcontent.com/images/headshots/current/168x168/8476454.jpg,61,18,33,51,0.84,108,16.7,19,-13
Dylan_Cozens,Dylan Cozens,NHL,#333,https://nhl.bamcontent.com/images/headshots/current/168x168/8481528.jpg,69,24,27,51,0.74,166,14.5,53,-9
Pavel_Zacha,Pavel Zacha,NHL,#333,https://nhl.bamcontent.com/images/headshots/current/168x168/8478401.jpg,67,23,28,51,0.76,112,20.5,28,-1
Jakob_Chychrun,Jakob Chychrun,NHL,#333,https://nhl.bamcontent.com/images/headshots/current/168x168/8479345.jpg,68,23,28,51,0.75,203,11.3,55,15
Dylan_Strome,Dylan Strome,NHL,#333,https://nhl.bamcontent.com/images/headshots/current/168x168/8478440.jpg,68,16,34,50,0.74,129,12.4,34,3
Jordan_Eberle,Jordan Eberle,NHL,#333,https://nhl.bamcontent.com/images/headshots/current/168x168/8474586.jpg,67,22,27,49,0.73,148,14.9,24,6
Carter_Verhaeghe,Carter Verhaeghe,NHL,#333,https://nhl.bamcontent.com/images/headshots/current/168x168/8477409.jpg,67,20,29,49,0.73,161,12.4,32,-11
Tyler_Bertuzzi,Tyler Bertuzzi,NHL,#333,https://nhl.bamcontent.com/images/headshots/current/168x168/8477479.jpg,66,28,21,49,0.74,141,19.9,36,-21
Bo_Horvat,Bo Horvat,NHL,#333,https://nhl.bamcontent.com/images/headshots/current/168x168/8477500.jpg,56,28,21,49,0.88,186,15.1,40,10
Troy_Terry,Troy Terry,NHL,#333,https://nhl.bamcontent.com/images/headshots/current/168x168/8478873.jpg,49,14,35,49,1.0,117,12.0,12,11
Ryan_McLeod,Ryan McLeod,NHL,#333,https://nhl.bamcontent.com/images/headshots/current/168x168/8480802.jpg,70,12,37,49,0.7,83,14.5,12,28
Jake_Sanderson,Jake Sanderson,NHL,#333,https://nhl.bamcontent.com/images/headshots/current/168x168/8482105.jpg,62,11,37,48,0.77,133,8.3,8,9
Moritz_Seider,Moritz Seider,NHL,#333,https://nhl.bamcontent.com/images/headshots/current/168x168/8481542.jpg,70,9,39,48,0.69,157,5.7,55,20
Luke_Evangelista,Luke Evangelista,NHL,#333,https://nhl.bamcontent.com/images/headshots/current/168x168/8482146.jpg,68,9,39,48,0.71,144,6.2,14,5
Vincent_Trocheck,Vincent Trocheck,NHL,#333,https://nhl.bamcontent.com/images/headshots/current/168x168/8476389.jpg,54,15,33,48,0.89,95,15.8,50,-16
